Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day Perc Change,pc_Open_Close,pc_High_Low,5_day_mean,5_day_std,Action
2017-05-17,DHFL,NL,2017-05-17,1043.61,1048.0,1048.0,1043.56,1044.5,1044.18,1044.09,730,762184.4,8,530,72.6,-11.13,-0.0036450381679388705,0.004254666717773827,1.1819999999999937,7.705028877298234,-1
2017-05-17,DHFL,NN,2017-05-17,1043.0,1043.0,1043.0,1042.5,1042.5,1042.5,1042.91,151,157480.0,7,151,100.0,-0.16,-0.00047938638542665386,0.00047961630695443646,0.8399999999999936,7.722541680042891,1
2017-05-17,DHFL,NP,2017-05-17,1061.03,1062.5,1062.5,1050.0,1057.07,1057.07,1060.89,2985,3166762.62,37,2985,100.0,1.4,-0.0051105882352941775,0.011904761904761904,0.23199999999999346,7.484248125229392,-1
2017-05-18,DHFL,EQ,2017-05-18,429.0,424.95,427.9,416.55,418.5,417.95,422.22,1639654,692300664.05,32812,534358,32.59,-60.46,-0.016472526179550535,0.02724762933621406,-12.100000000000007,28.045706445015778,1
2017-05-18,DHFL,N6,2017-05-18,1012.1,1010.0,1015.0,1004.01,1015.0,1015.0,1012.32,1901,1924422.45,29,1626,85.53,142.85,0.0049504950495049506,0.010946106114480941,14.499999999999995,76.05285431855927,1
2017-05-18,DHFL,NC,2017-05-18,1069.66,1070.1,1070.1,1070.0,1070.1,1070.1,1070.01,217,232191.7,5,217,100.0,5.43,0.0,9.345794392514864e-05,17.811999999999994,75.01111231011043,-1
2017-05-18,DHFL,NE,2017-05-18,1055.15,1062.0,1062.0,1062.0,1062.0,1062.0,1062.0,10,10620.0,1,10,100.0,-0.76,0.0,0.0,17.691999999999993,75.04752207768088,-1
2017-05-18,DHFL,NP,2017-05-18,1057.07,1050.0,1067.0,1050.0,1060.52,1060.52,1061.61,3185,3381216.1,19,2345,73.63,-0.14,0.010019047619047601,0.01619047619047619,17.383999999999993,75.13421144858047,-1
2017-05-19,DHFL,EQ,2017-05-19,417.95,423.0,426.45,398.65,405.9,404.2,411.93,2693962,1109715622.8,33554,884888,32.85,-61.89,-0.044444444444444474,0.06973535682929892,17.097999999999992,75.50640482767008,1
2017-05-19,DHFL,N6,2017-05-19,1015.0,1016.6,1016.6,1016.6,1016.6,1016.6,1016.6,10,10166.0,1,10,100.0,151.51,0.0,0.0,18.82999999999999,79.12472717172552,1
2017-05-19,DHFL,N8,2017-05-19,1057.02,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,5,5300.0,1,5,100.0,4.27,0.0,0.0,18.597999999999992,79.1755238062875,1
2017-05-19,DHFL,NC,2017-05-19,1070.1,1070.0,1071.95,1070.0,1071.95,1071.67,1071.12,213,228148.25,5,213,100.0,1.1,0.0015607476635514698,0.0018224299065420985,18.96999999999999,79.0661277033345,-1
2017-05-19,DHFL,NJ,2017-05-19,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,68,71400.0,2,68,100.0,-2.02,0.0,0.0,18.59399999999999,79.18410718067105,-1
2017-05-19,DHFL,NL,2017-05-19,1044.18,1044.5,1050.0,1044.5,1050.0,1050.0,1048.13,142,148834.6,7,142,100.0,0.0,0.005265677357587362,0.005265677357587362,30.97199999999999,67.42121231481973,1
2017-05-19,DHFL,NP,2017-05-19,1060.52,1063.5,1064.5,1063.4,1063.5,1063.5,1063.86,1381,1469195.1,21,1381,100.0,1.29,0.0,0.0010344179048334672,0.9279999999999916,2.2848129026244344,-1
2017-05-22,DHFL,EQ,2017-05-22,404.2,408.0,412.15,400.25,403.9,404.0,405.76,1636114,663874862.95,21505,445687,27.24,-62.01,-0.00980392156862745,0.029731417863835045,-12.328000000000008,27.804211371660926,1
2017-05-22,DHFL,N2,2017-05-22,996.7,1003.0,1003.0,1000.0,1003.0,1003.0,1001.66,397,397660.0,8,397,100.0,148.27,0.0,0.003,17.105999999999995,78.05751296319913,1
2017-05-22,DHFL,N6,2017-05-22,1016.6,1016.5,1016.5,1016.0,1016.0,1016.0,1016.06,131,133103.5,8,131,100.0,1.3,-0.0004918839153959665,0.0004921259842519685,17.769999999999992,77.86803355678119,1
2017-05-22,DHFL,N8,2017-05-22,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,10,10600.0,1,10,100.0,4.33,0.0,0.0,18.635999999999992,77.644757582209,1
2017-05-22,DHFL,NC,2017-05-22,1071.67,1070.01,1071.95,1069.0,1071.95,1071.95,1069.91,1509,1614498.39,15,1309,86.75,1.13,0.0018130671675966154,0.002759588400374224,18.603999999999992,77.65372611793977,-1
2017-05-22,DHFL,NL,2017-05-22,1050.0,1050.0,1058.8,1050.0,1058.79,1056.28,1054.24,538,567180.0,8,538,100.0,-1.46,0.005980952380952355,0.008380952380952338,30.71399999999999,65.74779714941026,1
2017-05-22,DHFL,NP,2017-05-22,1063.5,1063.0,1064.2,1061.0,1064.2,1063.98,1062.98,8502,9037429.05,51,7677,90.3,0.73,0.0009219190968955957,0.003016022620169694,1.2059999999999889,2.0680981601460036,-1
2017-05-23,DHFL,EQ,2017-05-23,404.0,405.95,411.8,387.2,400.5,402.0,400.48,2322519,930124260.75,30348,489515,21.08,-62.22,-0.009730262347579724,0.06353305785123974,-11.49800000000001,28.42973214787644,1
2017-05-23,DHFL,N6,2017-05-23,1016.0,1014.0,1015.0,1014.0,1014.99,1014.99,1014.73,622,631160.19,7,622,100.0,152.49,0.0009763313609467546,0.0009861932938856016,18.133999999999993,79.81895157166623,1
2017-05-23,DHFL,N8,2017-05-23,1060.0,1065.0,1065.0,1060.0,1063.0,1063.0,1063.26,298,316851.0,13,298,100.0,4.73,-0.0018779342723004694,0.0047169811320754715,18.853999999999992,79.64326606813661,1
2017-05-23,DHFL,NC,2017-05-23,1071.95,1071.0,1073.5,1071.0,1073.5,1073.49,1072.93,918,984952.0,9,918,100.0,0.8,0.002324929971988804,0.002334267040149393,19.19799999999999,79.53735204292383,-1
2017-05-23,DHFL,NL,2017-05-23,1056.28,1046.0,1046.0,1045.55,1045.55,1045.55,1045.9,140,146426.5,5,140,100.0,-2.6,-0.00043021032504784464,0.00043039548562961646,31.121999999999993,67.89719191542461,-1
2017-05-23,DHFL,NN,2017-05-23,1042.5,1039.2,1039.2,1039.2,1039.2,1039.2,1039.2,10,10392.0,1,10,100.0,-0.61,0.0,0.0,0.5019999999999868,2.688916138521079,1
2017-05-23,DHFL,NP,2017-05-23,1063.98,1062.0,1064.15,1062.0,1063.05,1063.07,1062.87,1688,1794128.46,29,1672,99.05,2.3,0.0010075329566854392,0.0020244821092279576,0.01599999999998669,1.8094833516777904,-1
2017-05-24,DHFL,EQ,2017-05-24,402.0,404.8,407.9,392.5,397.5,395.55,399.79,1984614,793435506.3,31616,533717,26.89,-62.79,-0.022850790513833992,0.03923566878980886,-12.580000000000013,28.126340856926245,1
2017-05-24,DHFL,N6,2017-05-24,1014.99,1015.0,1018.0,1014.15,1014.15,1014.2,1015.47,100,101547.0,8,100,100.0,156.4,-0.000788177339901433,0.0037962826011931398,18.53999999999999,81.69655470091746,1
2017-05-24,DHFL,NC,2017-05-24,1073.49,1072.5,1073.45,1072.0,1073.0,1073.0,1072.93,870,933453.3,12,870,100.0,0.42,0.0004662004662004662,0.0013526119402985498,20.335999999999988,81.19400920018668,-1
2017-05-24,DHFL,NE,2017-05-24,1062.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0,68,72080.0,1,68,100.0,-1.21,0.0,0.0,19.63399999999999,81.4038348605273,-1
2017-05-24,DHFL,NJ,2017-05-24,1050.0,1040.0,1040.0,978.0,978.0,978.0,980.03,61,59782.0,2,61,100.0,-7.74,-0.05961538461538462,0.06339468302658487,30.643999999999988,70.45540596717899,1
2017-05-24,DHFL,NL,2017-05-24,1045.55,1045.55,1045.55,1045.55,1045.55,1045.55,1045.55,20,20911.0,1,20,100.0,6.91,0.0,0.0,0.7459999999999866,5.812403117471901,1
2017-05-24,DHFL,NN,2017-05-24,1039.2,1039.5,1046.0,1039.0,1046.0,1046.0,1043.45,150,156518.2,5,150,100.0,0.04,0.006253006253006253,0.006737247353224254,-0.3160000000000133,5.215326451910466,1
2017-05-24,DHFL,NP,2017-05-24,1063.07,1065.0,1065.0,1063.5,1064.0,1064.0,1064.44,2191,2332198.6,19,1691,77.18,1.72,-0.0009389671361502347,0.0014104372355430183,-0.05600000000001334,5.293017098026136,-1
2017-05-25,DHFL,EQ,2017-05-25,395.55,397.45,407.6,397.3,404.95,405.5,403.71,3393790,1370107530.85,56100,1958807,57.72,-61.89,0.02025412001509627,0.025924993707525826,-12.192000000000013,28.274385404460983,1
2017-05-25,DHFL,N2,2017-05-25,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,273,273819.0,1,273,100.0,147.35,0.0,0.0,18.825999999999986,77.17028463080851,1
